company,country,region,is_english,job_title,signal_count,distinct_phrases,phrases_found
Ageas,United Kingdom,UK,yes,Director of Financial Reporting & Controls,2,2,end-to-end; testing
Ageas,United Kingdom,UK,yes,IMO Analyst,7,3,integrated; integration; new ways of working
Ageas,United Kingdom,UK,yes,Lead Data Product Owner,0,0,
Allianz,France,EU,yes,Sr Economic & Financial Analyst - Trade & Commodities,3,3,ai; assess; macro
Allianz,Ireland,EU,yes,Operations Office - IT / IS,2,1,assessment
Allianz,Ireland,EU,yes,Actuarial Analyst (Graduate Programme),2,2,assisting; automation
Allianz,United Kingdom,UK,yes,Product Manager UK Broker,8,8,ai; artificial intelligence; assess; assessment; data governance; explore; fairness; machine learning
Allianz,Hungary,EU,yes,Process transformation szakértő,2,2,ai; use case
Allianz,Romania,EU,yes,Senior Cloud Engineer (m/f/d)_D-2267,11,6,ai; automate; automated; automation; event-driven; testing
Allianz,Germany,EU,no,Gesundheits- und Krankenpfleger (m/w/d),1,1,ki
Allianz,Portugal,EU,no,Opérateur en devis - en langue française,3,3,apprentissage automatique; ia; intelligence artificielle
Allianz,Czechia,EU,no,RSA Coordinator,0,0,
Allianz,Netherlands,EU,yes,Business Performance & Planning Analyst,10,4,ai; automation; integration; machine learning
Allianz,France,EU,no,Gestionnaire de Sinistres Habitation (Alternance),1,1,expansion
Allianz,France,EU,yes,Consultant - Identity and Access Management (IAM),1,1,testing
Allianz,France,EU,no,Agent Expert en Gestion de Patrimoine et Protection Social H/F - Bordeaux (33),4,2,ia; intelligence artificielle
Allianz,Germany,EU,no,Ausbildung 2026 - Kaufleute für Versicherungen und Finanzanlagen (m/w/d),2,2,fairness; künstliche intelligenz
Allianz,Germany,EU,no,Ausbildung 2026 - Koch (m/w/d),2,2,fairness; künstliche intelligenz
Allianz,Spain,EU,no,Agente Comercial,0,0,
Allianz,France,EU,unknown,Agent Expert en Patrimoine et Protection Sociale H/F - NANTES (44),0,0,
Allianz,France,EU,no,Alternance Assistant Manager - Support de l'action Managériale H/F,0,0,
Allianz,France,EU,no,Alternance 12 ou 24 mois - Chargé(e)de projets (H/F),1,1,macro
Allianz,Netherlands,EU,no,Client Success Medewerker,0,0,
Allianz,Netherlands,EU,no,Klantenservice Medewerker bij Allianz Direct,0,0,
Allianz,Germany,EU,no,Duales Studium Bachelor of Science in Business Administration (m/w/d) 2027,2,1,ki
Allianz,France,EU,yes,Senior Consultant - Identity and Access Management (IAM),1,1,change management
Allianz,United Kingdom,UK,yes,RSA Head of Platform - UK & Ireland,12,9,ai; artificial intelligence; data governance; end-to-end; escalations; expanding; integration; machine learning; transparency
Allianz,Romania,EU,no,Ofiter Securitatea Informatiilor,4,3,ai; gdpr; ia
Allianz,Germany,EU,no,"Customer Operations and Support Engineer (m/w/d) bei ADEUS, einem Unternehmen der Allianz Group",1,1,testing
Allianz,Belgium,EU,yes,Corporate Actuary,4,4,ai; artificial intelligence; automated; automating
Allianz,Hungary,EU,yes,Senior process transformation szakértő (Toborzási bónusz: br. 500.000 Ft),11,6,agentic; ai; core systems; integration; middleware; use cases
Allianz,France,EU,yes,Apprenticeship (m/f) - Smart Building junior project manager,5,4,assess; automation; integration; testing
Allianz,Hungary,EU,yes,SAP Developer,8,6,api; apis; end-to-end; evaluation; fairness; integrations
Allianz,Germany,EU,yes,Senior Python Developer (m/f/d),3,3,apis; integration; testing
Allianz,Ireland,EU,yes,Regional Business Manager,0,0,
Allianz,Hungary,EU,yes,Senior Accountant_2513,0,0,
Allianz,United Kingdom,UK,yes,Roadside Technician - Ipswich/Stowmarket,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,United Kingdom,UK,yes,Roadside Technicians - Bristol,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Romania,EU,yes,DevOps Engineer_D-2540 (m/f/d),6,5,automation; integration; machine learning; microservices; workflow engine
Allianz,United Kingdom,UK,yes,Roadside Technician - West Sussex,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Hungary,EU,yes,Tuning testing specialist,5,5,ai; end-to-end; evaluation; expansion; integration
Allianz,United Kingdom,UK,yes,Roadside Technicians - Derby,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Netherlands,EU,yes,Internship Accounting and Automation,9,5,automation; automation solutions; change management; explore; fairness
Allianz,Germany,EU,no,Techniker für Gebäudemanagement (m/w/d),1,1,fairness
Allianz,United Kingdom,UK,yes,Head of Risk UKI,4,4,assessment; escalate; explore; fairness
Allianz,Hungary,EU,no,Hálózatfejlesztési szakértő (Toborzási bónusz: br. 500.000 Ft),2,2,ai; ki
Allianz,Hungary,EU,yes,SAP Architect,11,7,ai; api; end-to-end; fairness; gdpr; integration; integrations
Allianz,France,EU,no,Alternance - Loan Asset Management (H/F) - Paris,0,0,
Allianz,Ireland,EU,yes,Care Advisor - French/German IGO,4,4,ai; artificial intelligence; data governance; machine learning
Allianz,Romania,EU,yes,Personal Assistant,6,6,artificial intelligence; evaluate; explore; fairness; genai; generative artificial intelligence
Allianz,Germany,EU,yes,Events & Visitor Experience Expert - R&D Center Europe (m/f/d)_2650,1,1,end-to-end
Allianz,Germany,EU,no,Investment Data Analyst (m/w/d),0,0,
Allianz,Ireland,EU,yes,Broker Consultant,1,1,expand
Allianz,Spain,EU,no,Asesor/a Comercial Logroño,0,0,
Allianz,Spain,EU,no,Asesor/a Comercial Vizcaya Corredores,0,0,
Allianz,Germany,EU,no,Ausbildung 2026 - Kaufleute für Versicherungen und Finanzanlagen (m/w/d),2,2,fairness; künstliche intelligenz
Allianz,Germany,EU,no,Ausbildung 2026 - Kaufleute für Büromanagement (m/w/d),2,2,fairness; künstliche intelligenz
Allianz,Germany,EU,no,Werkstudent im Bereich Rechtsschutz (m/w/d),1,1,künstliche intelligenz
Allianz,Germany,EU,no,Praktikant für das Pricing Aktuariat (m/w/d),2,2,künstliche intelligenz; machine learning
Allianz,Germany,EU,no,Praktikant im Schadenmanagement Haft und Rechtsschutz (m/w/d),1,1,künstliche intelligenz
Allianz,Germany,EU,no,Senior Consultant Business Development (mwd) at Allvest,0,0,
Allianz,Spain,EU,yes,SAP Platform Basis Engineer - Cloud & Data Center (Expert),7,6,ai; automate; automation; end-to-end; testing; use cases
Allianz,Slovakia,EU,yes,Test and Release Manager (m/f/d)_2702,15,6,ai; assess; end-to-end; evaluating; integration; testing
Allianz,Spain,EU,yes,Internal IT Services Intern (m/f/d),14,6,ai; automate; automation; end-to-end; explore; fairness
Allianz,Ireland,EU,yes,Data Scientist,26,13,ai; artificial intelligence; data governance; data scientist; deep learning; explore; fairness; integrated; machine learning; ml; mlops; neural networks; sagemaker
Allianz,Germany,EU,no,Werkstudent im Kundenservice (m/w/d),1,1,künstliche intelligenz
Allianz,Romania,EU,yes,Product Owner AI Productive solutions_D-2745,27,8,ai; at scale; claude; copilot; data privacy; integration; microsoft copilot; testing
Allianz,United Kingdom,UK,yes,Engineer Surveyor - Electrical Talent Pool,3,2,fairness; testing
Allianz,Germany,EU,yes,Intern Innovation Experience Technologist - R&D Center Europe (m/f/d),12,7,ai; evaluate; experiment; experimenting; integration; ml; testing
Allianz,United Kingdom,UK,yes,Customer Claims Specialist,11,11,ai; artificial intelligence; assess; assessment; audit trails; claims system; data governance; escalate; escalations; explore; machine learning
Allianz,Ireland,EU,yes,Care Advisor - French,5,5,ai; artificial intelligence; data governance; learning and development; machine learning
Allianz,United Kingdom,UK,yes,Engineering Technician - Lift and Crane Talent Pool,1,1,fairness
Allianz,Spain,EU,yes,Head of Service Governance Strategy (m/f/d)_2470,4,3,ai; assess; transparency
Allianz,Germany,EU,no,Ausbildung 2026 - Kaufleute für Versicherungen und Finanzanlagen Presse-Versorgung (m/w/d),2,2,fairness; künstliche intelligenz
Allianz,Germany,EU,yes,Intern Events & Visitor Experience - R&D Center Europe (m/f/d),1,1,ai
Allianz,United Kingdom,UK,yes,Roadside Technician - Luton,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,France,EU,no,Contrôleur de gestion (H/F),1,1,ia
Allianz,Spain,EU,no,Asesor/a Comercial,0,0,
Allianz,Spain,EU,no,Especialista de Protección y Salud DC Centro,0,0,
Allianz,United Kingdom,UK,yes,Roadside Technician - North East,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Spain,EU,yes,"Wellbeing, Health & Safety Intern (m/f/d)",4,4,ai; end-to-end; explore; fairness
Allianz,Spain,EU,yes,Strategic Operations Intern (m/f/d),11,4,ai; automate; automation; low-code
Allianz,Spain,EU,yes,Security Risk Associate Intern (Information Security) (m/f/d),8,5,ai; assessment; end-to-end; explore; fairness
Allianz,Belgium,EU,yes,Sales Director - Benelux,6,5,assess; expanding; expansion; explore; fairness
Allianz,Ireland,EU,yes,Information Security Program Manager_1570,1,1,genai
Allianz,Ireland,EU,yes,Claims Officer - Italian,5,5,ai; artificial intelligence; data governance; learning and development; machine learning
Allianz,Netherlands,EU,no,Polismedewerker BMW,1,1,ai
Allianz,Netherlands,EU,yes,IT Demand Manager,5,4,ai; assess; end-to-end; transparency
Allianz,Belgium,EU,no,Customer Service Stage,1,1,ai
Allianz,Belgium,EU,yes,Risk Management Intern,3,3,automation; explore; testing
Allianz,Netherlands,EU,no,Acceptant Collectief Inkomen,1,1,ai
Allianz,Netherlands,EU,no,Medewerker nabestaanden- en arbeidsongeschiktheidsdesk,0,0,
Allianz,Romania,EU,yes,AGN Customer Ambassador (m/f/d)_D-2872,3,3,ai; escalation; supervision
Allianz,Spain,EU,yes,Recruiter Intern,1,1,evaluation
Allianz,Romania,EU,yes,Data Center and Cloud Engineer (m/f/d)_D-2625,2,2,automation; machine learning
Allianz,Spain,EU,yes,Agile Master_D-2887,1,1,change management
Allianz,Spain,EU,yes,Strategic Projects & IT Program Management Intern (m/f/d),7,6,ai; automation; embedded; end-to-end; explore; fairness
Allianz,France,EU,yes,Full-time internship Data and Analytics                     (5 - 6 months full-time internship)  F/M,16,7,ai; artificial intelligence; data governance; databricks; ethical ai; human oversight; machine learning
Allianz,Hungary,EU,no,Termékmenedzser (Lakossági vagyonbiztosítások),1,1,ai
Allianz,Spain,EU,yes,Cloud & AI Security Specialist (Prompt & LLM Security),21,9,ai; ai act; at scale; automating; automation; end-to-end; eu ai act; explore; fairness
Allianz,Spain,EU,yes,IT Business Analyst (m/f/d)_D-2874,2,2,ai; testing
Allianz,Portugal,EU,yes,Risk Manager | Mobility and Home & Digital,13,9,ai; artificial intelligence; assessing; assessment; copilot; data governance; machine learning; testing; transparency
Allianz,Romania,EU,yes,Senior Security Architect (m/f/d),13,9,ai; automation; continuous learning; end-to-end; escalation; explore; fairness; gdpr; integration
Allianz,France,EU,yes,: Reporting Project Manager - Central Reporting Team F/M,12,6,ai; artificial intelligence; data governance; ethical ai; human oversight; machine learning
Allianz,Spain,EU,yes,Senior Customer Experience (Temporary)_2954,6,4,ai; change management; end-to-end; integration
Allianz,Hungary,EU,yes,"Local Head of Data & Analytics Platform, Hungary_2982",6,6,agentic; ai; evaluate; expand; machine learning; ml
Allianz,Spain,EU,yes,Learning and Development Intern (m/f/d),2,2,ai; escalate
Allianz,United Kingdom,UK,yes,Roadside Technicians - Northamptonshire and surrounding areas,6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Spain,EU,yes,Global Rewards & Performance Senior Expert (m/f/d),9,7,ai; automation; end-to-end; evaluation; explore; fairness; genai
Allianz,Germany,EU,no,AllLink - Rechtsreferendare (m/w/d) @ Allianz Group Legal & Linklaters,0,0,
Allianz,Germany,EU,no,Rechtsreferendar (m/w/d) für die Konzernrechtsabteilung (Group Legal),4,3,ai; ethical ai; generative ai
Allianz,Romania,EU,yes,Adoption & Change Management Lead - AI Productivity Solutions (m/f/d),34,10,ai; change management; claude; copilot; end-to-end; escalate; explore; fairness; microsoft copilot; new ways of working
Allianz,Hungary,EU,yes,Java Developer_2876,8,5,ai; claude; copilot; github copilot; integrated
Allianz,Spain,EU,yes,Test Analyst (m/f/d),18,8,ai; automation; end-to-end; explore; fairness; genai; integration; testing
Allianz,Spain,EU,yes,Information Security Analyst (m/f/d)_2843,1,1,ai
Allianz,Spain,EU,yes,Backend Developer (m/f/d),15,12,ai; apis; automation; end-to-end; expanding; explore; fairness; gen-ai; kafka; machine learning; ml; testing
Allianz,Spain,EU,yes,Senior Cloud Security Engineer (Cloud Defense),13,9,at scale; automation; end-to-end; event-driven; fairness; guardrails; investigate; microservices; use cases
Allianz,Poland,EU,yes,Risk Manager Travel,10,7,ai; artificial intelligence; assessment; data governance; integrated; machine learning; supervision
Allianz,Spain,EU,yes,Customer Experience Intern (m/f/d),3,3,ai; automation; low-code
Allianz,Spain,EU,yes,Guest Experience Intern (m/f/d),4,4,ai; end-to-end; explore; fairness
Allianz,Hungary,EU,yes,Head of Planning and Controlling (Toborzási bónusz: 750.000 Ft),9,5,ai; decision support; explore; exploring; transparency
Allianz,Spain,EU,yes,Regional Information Security Officer (German Speaker),6,5,ai; assess; assessment; end-to-end; fairness
Allianz,Spain,EU,yes,Backend Developer (m/f/d)_D-2593,12,9,ai; apis; automation; expanding; gen-ai; kafka; machine learning; ml; testing
Allianz,Spain,EU,yes,AI Senior Full Stack Developer,21,11,ai; apis; automation; end-to-end; event-driven; fairness; genai; intelligent automation; kafka; microservices; ml
Allianz,Ireland,EU,yes,Training Specialist,8,7,ai; artificial intelligence; data governance; evaluate; explore; fairness; machine learning
Allianz,Spain,EU,yes,Detection Engineer - AI/ML,24,16,ai; anomaly detection; automation; data scientists; deep learning; end-to-end; evaluate; evaluation; explore; fairness; machine learning; ml; mlops; model drift; rule-based; vertex ai
Allianz,Portugal,EU,yes,Project  Manager (m/f/d),5,5,assess; end-to-end; evaluate; integration; orchestration
Allianz,Bulgaria,EU,yes,Portfolio Investment Manager,0,0,
Allianz,Ireland,EU,yes,Care Advisor - FR/GR & NL IGO,4,4,ai; artificial intelligence; data governance; machine learning
Allianz,Romania,EU,yes,Assistance Coordinator (German&English),10,8,ai; artificial intelligence; explore; fairness; investigate; machine learning; predictive analytics; supervision
Allianz,Spain,EU,yes,AI Trainee,38,15,ai; api; automation; azure ai; copilots; explore; exploring; genai; generative ai; hugging face; langchain; machine learning; nlp; openai; prompt engineering
Allianz,France,EU,yes,GLOBAL HRBP APPRENTICE W/M,0,0,
Allianz,Bulgaria,EU,yes,Senior Recruiter ‎(5000236174)‎,7,5,ai; assess; assessment; automated; copilot
Allianz,Belgium,EU,yes,Sales data expert,2,1,automate
Allianz,Spain,EU,yes,Local Communication Intern (m/f/d),1,1,ai
Allianz,Bulgaria,EU,yes,Relationship Manager Large Corporate Clients,6,4,ai; copilot; explore; fairness
Allianz,Germany,EU,yes,Senior Third-Party Risk Management Expert - Digital Resilience (m/f/d)_2835,4,3,assessing; data privacy; integrated
Allianz,Spain,EU,yes,Senior Kubernetes Engineer (Cloud Platform)_2725,3,3,automate; automation; integration
Allianz,Germany,EU,yes,Intern in Market Research at Allianz SE (m/f/d),7,6,artificial intelligence; evaluate; explore; exploring; fairness; testing
Allianz,Slovakia,EU,yes,Commercial Service Manager (m/f/d),13,8,ai; ai adoption; automating; automation; end-to-end; explore; fairness; integration
Allianz,Italy,EU,yes,Data Analyst for Product and Underwriting,1,1,evaluation
Allianz,Spain,EU,yes,Solution Architect - Mobile Applications,10,7,ai; apis; at scale; end-to-end; evaluate; fairness; integration
Allianz,Ireland,EU,yes,Care Advisor - German,4,4,ai; artificial intelligence; data governance; machine learning
Allianz,Slovakia,EU,yes,Senior Commercial Service Manager - Controlling expert(m/f/d)_2673,9,6,ai; ai adoption; automating; automation; escalation; integration
Allianz,Bulgaria,EU,yes,Customer Relationship Expert,6,4,ai; copilot; explore; fairness
Allianz,Spain,EU,yes,Cyber Security Analyst - Vulnerability & Attack Surface Management_D-2884,4,4,api; apis; assess; testing
Allianz,Spain,EU,yes,Senior Bug Bounty & Vulnerability Management Lead,6,5,assessment; end-to-end; explore; fairness; integration
Allianz,Germany,EU,yes,Working Student Information Security (m/f/d),3,3,ai; artificial intelligence; generative ai
Allianz,Germany,EU,yes,Intern (m/f/d) in Real Assets,5,5,ai; evaluate; explore; fairness; gen ai
Allianz,Spain,EU,yes,Senior Security Incident Responder_D-2886,1,1,automation
Allianz,United Kingdom,UK,yes,Portfolio management specialist,3,3,explore; fairness; transparency
Allianz,Germany,EU,yes,Intern Internal Risk Modelling in Group Risk at Allianz SE (m/f/d),2,2,algorithms; artificial intelligence
Allianz,Germany,EU,yes,Working Student Developer Tenant UI Platform (m/f/d),17,11,ai; api; automate; automated; continuous learning; end-to-end; explore; fairness; integration; kafka; testing
Allianz,United Kingdom,UK,yes,Head of Architecture_2939,16,7,ai; continuous learning; generative ai; integrated; learning and development; skilling; supervise
Allianz,United Kingdom,UK,yes,Roadside Technician (National Coverage),6,6,ai; artificial intelligence; assess; data governance; end-to-end; machine learning
Allianz,Spain,EU,yes,Senior DevOps Engineer,11,8,automate; automated; automation; continuous learning; end-to-end; explore; fairness; observability
Allianz,Spain,EU,yes,IT DevOps Manager (m/f/d),16,9,automated; automation; end-to-end; enterprise-wide; explore; fairness; integration; observability; testing
Allianz,Netherlands,EU,yes,Accounting & Reporting Governance Manager Benelux,1,1,automation
Allianz,Spain,EU,yes,Regional Information Security Officer_2192,4,3,ai; assess; assessment
Allianz,Spain,EU,yes,Controlling & Reporting Specialist (m/f/d)_2575,2,2,end-to-end; evaluate
Allianz,Spain,EU,yes,Digital Resilience Third Party Risk Management Expert_2853,2,2,ai; assess
Allianz,Spain,EU,yes,Provider Demand Management_2225,8,7,ai; change management; end-to-end; escalation; escalations; supervision; transparency
Allianz,Spain,EU,yes,SAP HCM Expert (m/f/d),5,4,ai; end-to-end; explore; fairness
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Poitiers (86),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Fontainebleau (77),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Bonneville (74),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Avignon (84),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Flers (61),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Nantes (44),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Limoges (87),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Saint-Flour (15),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Le-Puy-en-Velay (43),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Grenoble (38),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Montélimar (26),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Compiègne (60),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Avranches (50),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Saverne (67),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Perpignan (66),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Lunéville (54),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Carcassonne (11),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Dourdan (91),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Annecy (74),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Villeneuve-d'Ascq (59),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Rambouillet (78),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Marcq-en-Barœul (59),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Thonon-les-Bains (74),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Saint-Brieuc (22),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Nice (06),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Saint-Dizier (52),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Niort (79),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Rumilly (74),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Saint Quentin (02),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Caen (14),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Sarrebourg (57),2,2,ia; intelligence artificielle
Allianz,Germany,EU,yes,Valuation Specialist (f/m/d) - Limited to 24 months,0,0,
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Saint-Marcellin (38),2,2,ia; intelligence artificielle
Allianz,United Kingdom,UK,yes,Senior Pricing Analyst,6,4,assisting; databricks; escalated; fairness
Allianz,Spain,EU,yes,Senior Business Analyst - Resource Management Capability,7,6,ai; change management; end-to-end; exploring; integration; testing
Allianz,Ireland,EU,yes,Care Advisor - French IGO,4,4,ai; artificial intelligence; data governance; machine learning
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Obernai (67),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Belfort (90),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Noyon (60),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Bourbon-Lançy (71),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Expérimenté en Gestion de Patrimoine H/F - Bourg-Saint-Maurice (73),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller Commercial en Protection Sociale Expérimenté H/F - Saintes (17),2,2,ia; intelligence artificielle
Allianz,France,EU,no,Conseiller en Gestion de Patrimoine Expérimenté H/F - Beauvais (60),2,2,ia; intelligence artificielle
